timestamp,protocol,src_ip,src_port,dst_ip,dst_port,signature
2024-06-08 14:58:41,TCP,192.168.1.12,38364,192.168.1.50,161,PROTOCOL-SNMP request tcp
2024-06-08 14:59:48,TCP,192.168.1.12,38364,192.168.1.50,162,PROTOCOL-SNMP trap tcp
2024-06-08 14:59:56,TCP,192.168.1.12,38364,192.168.1.50,705,PROTOCOL-SNMP AgentX/tcp request
2024-06-08 14:59:56,TCP,192.168.1.12,38366,192.168.1.50,705,PROTOCOL-SNMP AgentX/tcp request
2024-06-08 15:00:00,TCP,192.168.1.12,48992,192.168.1.50,161,PROTOCOL-SNMP request tcp
2024-06-08 15:00:00,TCP,192.168.1.12,52282,192.168.1.50,162,PROTOCOL-SNMP trap tcp
2024-06-08 15:00:06,TCP,192.168.1.12,48992,192.168.1.50,161,PROTOCOL-SNMP request tcp
2024-06-08 15:00:06,TCP,192.168.1.12,52282,192.168.1.50,162,PROTOCOL-SNMP trap tcp
2024-06-08 15:00:06,TCP,192.168.1.12,33458,192.168.1.50,389,SERVER-OTHER Novell eDirectory LDAP server buffer overflow attempt
2024-06-08 15:00:06,TCP,192.168.1.12,33942,192.168.1.50,161,PROTOCOL-SNMP request tcp
2024-06-08 15:00:06,TCP,192.168.1.12,58250,192.168.1.50,162,PROTOCOL-SNMP trap tcp
2024-06-08 15:00:12,TCP,192.168.1.12,51486,192.168.1.50,3389,POLICY-OTHER Microsoft Windows Terminal server request attempt
2024-06-08 15:00:12,TCP,192.168.1.12,56518,192.168.1.50,3389,POLICY-OTHER Microsoft Windows Terminal server RDP attempt
2024-06-08 15:00:12,TCP,192.168.1.12,56518,192.168.1.50,3389,POLICY-OTHER Microsoft Windows Terminal server request attempt
2024-06-08 15:00:12,TCP,192.168.1.12,34442,192.168.1.50,27017,POLICY-OTHER MongoDB query attempt
2024-06-08 15:00:22,TCP,192.168.1.12,41686,192.168.1.50,162,PROTOCOL-SNMP trap tcp
2024-06-08 15:00:22,TCP,192.168.1.12,41688,192.168.1.50,162,PROTOCOL-SNMP trap tcp
2024-06-08 15:00:22,TCP,192.168.1.12,41702,192.168.1.50,162,PROTOCOL-SNMP trap tcp
2024-06-08 15:00:22,TCP,192.168.1.12,58564,192.168.1.50,161,PROTOCOL-SNMP request tcp
2024-06-08 15:00:22,TCP,192.168.1.12,41712,192.168.1.50,162,PROTOCOL-SNMP trap tcp
2024-06-08 15:00:22,TCP,192.168.1.12,36198,192.168.1.50,23,SERVER-OTHER CCProxy telnet ping buffer overflow attempt
2024-06-08 15:00:22,TCP,192.168.1.12,41728,192.168.1.50,162,PROTOCOL-SNMP trap tcp
2024-06-08 15:00:23,TCP,192.168.1.12,41728,192.168.1.50,162,PROTOCOL-SNMP trap tcp
2024-06-08 15:00:23,TCP,192.168.1.12,58574,192.168.1.50,161,PROTOCOL-SNMP request tcp
2024-06-08 15:00:23,TCP,192.168.1.12,46844,192.168.1.50,143,SERVER-MAIL Multiple IMAP servers APPEND command buffer overflow attempt
2024-06-08 15:00:23,TCP,192.168.1.12,36218,192.168.1.50,23,SERVER-OTHER CCProxy telnet ping buffer overflow attempt
2024-06-08 15:00:23,TCP,192.168.1.12,58584,192.168.1.50,161,PROTOCOL-SNMP request tcp
2024-06-08 15:00:23,TCP,192.168.1.12,58586,192.168.1.50,161,PROTOCOL-SNMP request tcp
2024-06-08 15:00:23,TCP,192.168.1.12,36228,192.168.1.50,23,SERVER-OTHER CCProxy telnet ping buffer overflow attempt
2024-06-08 15:00:23,TCP,192.168.1.12,58592,192.168.1.50,161,PROTOCOL-SNMP request tcp
2024-06-08 15:00:23,TCP,192.168.1.12,36242,192.168.1.50,23,SERVER-OTHER CCProxy telnet ping buffer overflow attempt
2024-06-08 15:00:52,TCP,192.168.1.12,37604,192.168.1.50,161,PROTOCOL-SNMP request tcp
2024-06-08 15:00:52,TCP,192.168.1.12,37612,192.168.1.50,161,PROTOCOL-SNMP request tcp
2024-06-08 15:00:52,TCP,192.168.1.12,40318,192.168.1.50,162,PROTOCOL-SNMP trap tcp
2024-06-08 15:00:52,TCP,192.168.1.12,40324,192.168.1.50,162,PROTOCOL-SNMP trap tcp
2024-07-06 12:34:41,UDP,192.168.1.12,53,192.168.1.2,161,PROTOCOL-SNMP request udp
2024-07-06 12:34:41,UDP,192.168.1.12,53,192.168.1.2,161,SERVER-OTHER Bay/Nortel Nautica Marlin
2024-07-06 12:34:42,UDP,192.168.1.12,53,192.168.1.2,162,PROTOCOL-SNMP trap udp
2024-07-06 12:37:50,UDP,192.168.1.12,53,192.168.1.2,161,PROTOCOL-SNMP request udp
2024-07-06 12:37:50,UDP,192.168.1.12,53,192.168.1.2,161,SERVER-OTHER Bay/Nortel Nautica Marlin
2024-07-06 12:37:51,UDP,192.168.1.12,53,192.168.1.2,162,PROTOCOL-SNMP trap udp
2024-07-06 12:38:29,TCP,192.168.1.12,64016,192.168.1.2,162,PROTOCOL-SNMP trap tcp
2024-07-06 12:38:33,TCP,192.168.1.12,64016,192.168.1.2,705,PROTOCOL-SNMP AgentX/tcp request
2024-07-06 12:38:33,TCP,192.168.1.12,64018,192.168.1.2,705,PROTOCOL-SNMP AgentX/tcp request
2024-07-06 12:38:36,TCP,192.168.1.12,64016,192.168.1.2,161,PROTOCOL-SNMP request tcp
2024-07-06 12:39:11,UDP,192.168.1.12,33631,192.168.1.2,30391,INDICATOR-SHELLCODE x86 inc ebx NOOP
2024-07-06 12:39:11,TCP,192.168.1.12,33433,192.168.1.2,8080,POLICY-OTHER TCP SYN packet and URG set attempt
2024-07-06 12:39:11,TCP,192.168.1.12,33433,192.168.1.2,8080,POLICY-OTHER TCP FIN packet and URG set attempt
2024-07-06 12:39:11,TCP,192.168.1.12,33433,192.168.1.2,8080,POLICY-OTHER TCP packet with urgent flag attempt
2024-07-06 12:39:11,TCP,192.168.1.12,33437,192.168.1.2,21,POLICY-OTHER TCP FIN packet and URG set attempt
2024-07-06 12:39:11,TCP,192.168.1.12,33437,192.168.1.2,21,POLICY-OTHER TCP packet with urgent flag attempt
2024-07-06 12:39:13,UDP,192.168.1.12,33631,192.168.1.2,43710,INDICATOR-SHELLCODE x86 inc ebx NOOP
2024-07-06 12:39:13,TCP,192.168.1.12,33433,192.168.1.2,8080,POLICY-OTHER TCP SYN packet and URG set attempt
2024-07-06 12:39:13,TCP,192.168.1.12,33433,192.168.1.2,8080,POLICY-OTHER TCP FIN packet and URG set attempt
2024-07-06 12:39:13,TCP,192.168.1.12,33433,192.168.1.2,8080,POLICY-OTHER TCP packet with urgent flag attempt
2024-07-06 12:39:13,TCP,192.168.1.12,33437,192.168.1.2,21,POLICY-OTHER TCP FIN packet and URG set attempt
2024-07-06 12:39:13,TCP,192.168.1.12,33437,192.168.1.2,21,POLICY-OTHER TCP packet with urgent flag attempt
2024-07-06 12:39:14,TCP,192.168.1.12,33433,192.168.1.2,8080,POLICY-OTHER TCP SYN packet and URG set attempt
2024-07-06 12:39:14,TCP,192.168.1.12,33433,192.168.1.2,8080,POLICY-OTHER TCP FIN packet and URG set attempt
2024-07-06 12:39:14,TCP,192.168.1.12,33433,192.168.1.2,8080,POLICY-OTHER TCP packet with urgent flag attempt
2024-07-06 12:39:14,TCP,192.168.1.12,33437,192.168.1.2,21,POLICY-OTHER TCP FIN packet and URG set attempt
2024-07-06 12:39:14,TCP,192.168.1.12,33437,192.168.1.2,21,POLICY-OTHER TCP packet with urgent flag attempt
